train_loss_step,epoch,step,val_loss,val_loss/ESR,val_loss/DC,val_loss/STFT,train_loss_epoch
7.706826210021973,0,0,,,,,
,0,0,3.7227723598480225,1.2548425197601318,0.06893748790025711,2.3989923000335693,
,0,0,,,,,7.706826210021973
6.2154541015625,1,1,,,,,
,1,1,3.6933555603027344,1.2038589715957642,0.05292249843478203,2.4365739822387695,
,1,1,,,,,6.2154541015625
5.231245040893555,2,2,,,,,
,2,2,3.6652960777282715,1.1592416763305664,0.040078796446323395,2.465975761413574,
,2,2,,,,,5.2312445640563965
4.936678409576416,3,3,,,,,
,3,3,3.6500706672668457,1.119484543800354,0.0288071408867836,2.501779079437256,
,3,3,,,,,4.936678409576416
4.772491931915283,4,4,,,,,
,4,4,3.6344218254089355,1.0878225564956665,0.01975984312593937,2.526839256286621,
,4,4,,,,,4.772491931915283
4.811402320861816,5,5,,,,,
,5,5,3.6313729286193848,1.0628265142440796,0.012339119799435139,2.5562074184417725,
,5,5,,,,,4.811402320861816
4.569015979766846,6,6,,,,,
,6,6,3.6080522537231445,1.0465524196624756,0.007020759861916304,2.5544791221618652,
,6,6,,,,,4.569015979766846
4.41463565826416,7,7,,,,,
,7,7,3.637608528137207,1.0397921800613403,0.003579165553674102,2.5942373275756836,
,7,7,,,,,4.41463565826416
4.339046478271484,8,8,,,,,
,8,8,3.6789674758911133,1.0389243364334106,0.0015293414471670985,2.6385138034820557,
,8,8,,,,,4.339046478271484
4.193741321563721,9,9,,,,,
,9,9,3.7333714962005615,1.0442489385604858,0.0007649304461665452,2.6883575916290283,
,9,9,,,,,4.193741321563721
